201501;2015;01;Январь;2015;2015 Январь
201502;2015;02;Февраль;2015;2015 Февраль
201503;2015;03;Март;2015;2015 Март
201504;2015;04;Апрель;2015;2015 Апрель
201505;2015;05;Май;2015;2015 Май
201506;2015;06;Июнь;2015;2015 Июнь
201507;2015;07;Июль;2015;2015 Июль
201508;2015;08;Август;2015;2015 Август
201509;2015;09;Сентябрь;2015;2015 Сентябрь
201510;2015;10;Октябрь;2015;2015 Октябрь
201511;2015;11;Ноябрь;2015;2015 Ноябрь
201512;2015;12;Декабрь;2015;2015 Декабрь
201601;2016;01;Январь;2016;2016 Январь
201602;2016;02;Февраль;2016;2016 Февраль
201603;2016;03;Март;2016;2016 Март
201604;2016;04;Апрель;2016;2016 Апрель
201605;2016;05;Май;2016;2016 Май
201606;2016;06;Июнь;2016;2016 Июнь
201607;2016;07;Июль;2016;2016 Июль
201608;2016;08;Август;2016;2016 Август
201609;2016;09;Сентябрь;2016;2016 Сентябрь
201610;2016;10;Октябрь;2016;2016 Октябрь
201611;2016;11;Ноябрь;2016;2016 Ноябрь
201612;2016;12;Декабрь;2016;2016 Декабрь
201701;2017;01;Январь;2017;2017 Январь
201702;2017;02;Февраль;2017;2017 Февраль
201703;2017;03;Март;2017;2017 Март
201704;2017;04;Апрель;2017;2017 Апрель
201705;2017;05;Май;2017;2017 Май
201706;2017;06;Июнь;2017;2017 Июнь
201707;2017;07;Июль;2017;2017 Июль
201708;2017;08;Август;2017;2017 Август
201709;2017;09;Сентябрь;2017;2017 Сентябрь
201710;2017;10;Октябрь;2017;2017 Октябрь
201711;2017;11;Ноябрь;2017;2017 Ноябрь
201712;2017;12;Декабрь;2017;2017 Декабрь
201801;2018;01;Январь;2018;2018 Январь
201802;2018;02;Февраль;2018;2018 Февраль
201803;2018;03;Март;2018;2018 Март
201804;2018;04;Апрель;2018;2018 Апрель
201805;2018;05;Май;2018;2018 Май
201806;2018;06;Июнь;2018;2018 Июнь
201807;2018;07;Июль;2018;2018 Июль
201808;2018;08;Август;2018;2018 Август
201809;2018;09;Сентябрь;2018;2018 Сентябрь
201810;2018;10;Октябрь;2018;2018 Октябрь
201811;2018;11;Ноябрь;2018;2018 Ноябрь
201812;2018;12;Декабрь;2018;2018 Декабрь
201901;2019;01;Январь;2019;2019 Январь
201902;2019;02;Февраль;2019;2019 Февраль
201903;2019;03;Март;2019;2019 Март
201904;2019;04;Апрель;2019;2019 Апрель
201905;2019;05;Май;2019;2019 Май
201906;2019;06;Июнь;2019;2019 Июнь
201907;2019;07;Июль;2019;2019 Июль
201908;2019;08;Август;2019;2019 Август
201909;2019;09;Сентябрь;2019;2019 Сентябрь
201910;2019;10;Октябрь;2019;2019 Октябрь
201911;2019;11;Ноябрь;2019;2019 Ноябрь
201912;2019;12;Декабрь;2019;2019 Декабрь
202001;2020;01;Январь;2020;2020 Январь
202002;2020;02;Февраль;2020;2020 Февраль
202003;2020;03;Март;2020;2020 Март
202004;2020;04;Апрель;2020;2020 Апрель
202005;2020;05;Май;2020;2020 Май
202006;2020;06;Июнь;2020;2020 Июнь
202007;2020;07;Июль;2020;2020 Июль
202008;2020;08;Август;2020;2020 Август
202009;2020;09;Сентябрь;2020;2020 Сентябрь
202010;2020;10;Октябрь;2020;2020 Октябрь
202011;2020;11;Ноябрь;2020;2020 Ноябрь
202012;2020;12;Декабрь;2020;2020 Декабрь